Step,Time (s),C8H20O4SI (mol/cm3),Err,C6H16O4SI (mol/cm3),Err,C4H12O4SI (mol/cm3),Err,C2H8O4SI (mol/cm3),Err,H4O4SI (mol/cm3),Err,C6H16O4SI2 (mol/cm3),Err,C4H12O4SI2 (mol/cm3),Err,C2H8O4SI2 (mol/cm3),Err,H2 (mol/cm3),Err,H2O (mol/cm3),Err,H (mol/cm3),Err,CH4 (mol/cm3),Err,CH3 (mol/cm3),Err,CH2 (mol/cm3),Err,CH (mol/cm3),Err,CO (mol/cm3),Err,C2H (mol/cm3),Err,C2H2 (mol/cm3),Err,C2H3 (mol/cm3),Err,C2H4 (mol/cm3),Err,C2H5OH (mol/cm3),Err,C2H5 (mol/cm3),Err,H2CCCH (mol/cm3),Err,C3H2 (mol/cm3),Err,CH2(S) (mol/cm3),Err,C3H6 (mol/cm3),Err,AC3H5 (mol/cm3),Err,PC3H5 (mol/cm3),Err,N2 (mol/cm3),Err,T (K),Err,Density (mol/cm3),Err,Pressure (Pa),Err
17,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57252e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
18,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67314e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
19,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75601e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8324e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
21,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91264e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
22,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98669e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
23,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05319e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
24,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11946e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18551e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
26,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25058e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
