Weight,Equiv. Sphere Diameter (nm),Collision Diameter (nm),Mobility Diameter (nm),Surface Area (cm2),Volume (cm3),Mass (g),Age (s),Stat. Weight (cm-3),Num coags,silica,Number of Si atoms,Number of O atoms,Number of OH atoms,Number of primaries,Avg. primary diameter,Avg. Sintering Level
24110.2,32.5144,66.0066,66.0066,9.60657e-11,1.7998e-17,3.95957e-17,0.727332,7.29139e-06,195,365665,10103.5,18682.9,1698.05,39,8.6107,0.0721098
9246.44,44.8419,118.279,118.279,2.70616e-10,4.72117e-17,1.03866e-16,0.727332,2.7963e-06,2054,946399,10622.8,20579.1,1417.5,96,8.51472,0.0192406
16521.7,37.001,79.4175,79.4175,1.35248e-10,2.6524e-17,5.83528e-17,0.727332,4.99648e-06,890,538314,10727.9,20119.2,1629.65,54,8.9138,0.0726735
12274.4,40.8805,99.5601,99.5601,1.99543e-10,3.57723e-17,7.86991e-17,0.727332,3.71202e-06,780,714600,9635.79,18690.4,1346.26,80,8.09942,0.0404151
11758,41.6889,95.7051,95.7051,1.89916e-10,3.79366e-17,8.34606e-17,0.727332,3.55586e-06,1119,758710,7656.9,14685.9,1165.76,107,6.67168,0.0973621
11011.6,42.4384,99.9252,99.9252,2.04429e-10,4.00199e-17,8.80438e-17,0.727332,3.33014e-06,1499,800720,10922.2,21186.2,1504.38,79,8.98105,0.0570047
20586.8,34.3696,72.7579,72.7579,1.14303e-10,2.12579e-17,4.67675e-17,0.729669,6.22584e-06,1549,425730,10928.7,21191.6,1454.38,42,9.08359,0.0519204
10178.8,43.7127,105.924,105.924,2.26437e-10,4.37344e-17,9.62156e-17,0.727332,3.07828e-06,982,878322,6952.47,13230.3,1129.29,136,6.09487,0.0877042
7557.06,47.953,125.629,125.629,3.06333e-10,5.7736e-17,1.27019e-16,0.727332,2.2854e-06,708,1.16632e+06,11016.8,20826.6,1676.9,114,9.00483,0.0372749
8646.37,46.1779,113.01,113.01,2.56474e-10,5.15587e-17,1.13429e-16,0.727332,2.61483e-06,649,1.02916e+06,10281.5,19624.4,1757.74,108,8.5547,0.0648262
52500.9,25.1535,44.0035,44.0035,4.59917e-11,8.33283e-18,1.83322e-17,0.727332,1.58773e-05,358,165140,11129.6,22274.8,1245.69,16,9.11274,0.0585765
17965.3,35.9439,78.1609,78.1609,1.30151e-10,2.43149e-17,5.34929e-17,0.727332,5.43304e-06,790,492780,10223.7,19083.2,1598.79,52,8.4156,0.0600182
7918.91,47.5007,122.593,122.593,2.93899e-10,5.61176e-17,1.23459e-16,0.727332,2.39483e-06,575,1.11645e+06,8254.68,16088.7,1182.3,146,6.90888,0.0632961
67930.8,23.4553,40.277,40.277,3.88917e-11,6.75653e-18,1.48644e-17,0.729669,2.05436e-05,212,131799,10250.1,19677.5,2166.14,14,9.00829,0.0504006
6278.32,51.3162,142.84,142.84,3.84194e-10,7.0756e-17,1.55663e-16,0.727332,1.89869e-06,534,1.41713e+06,10463.6,19937.1,1726.6,146,8.62363,0.0313809
20648.7,34.5679,70.709,70.709,1.09824e-10,2.16282e-17,4.7582e-17,0.727332,6.24458e-06,1059,430999,11297.9,21791.7,1945.85,41,9.46909,0.0729793
16004.9,37.4655,88.2991,88.2991,1.59551e-10,2.75356e-17,6.05783e-17,0.727332,4.8402e-06,1421,550277,10598.9,20577.8,1451.8,56,8.82973,0.0203147
5710.23,52.8852,136.351,136.351,3.63753e-10,7.74467e-17,1.70383e-16,0.727332,1.72688e-06,665,1.5525e+06,10738.3,20510.3,1654.88,156,8.82963,0.0685182
5951.59,51.9811,137.006,137.006,3.63229e-10,7.35418e-17,1.61792e-16,0.727332,1.79988e-06,694,1.47789e+06,7924.96,15197.7,1124.48,201,6.53706,0.0759527
32612,29.3139,54.1681,54.1681,6.78113e-11,1.31893e-17,2.90164e-17,0.727332,9.86252e-06,998,266675,5747.88,11095.5,623.76,50,5.09575,0.173852
5984.43,52.1361,129.201,129.201,3.33131e-10,7.42018e-17,1.63244e-16,0.727332,1.80981e-06,1153,1.48214e+06,8702.55,16905,1319.38,183,7.33319,0.0973463
3895.42,59.9138,176.811,176.811,5.7171e-10,1.12611e-16,2.47744e-16,0.727332,1.17805e-06,868,2.27362e+06,8041.03,15244.9,1243.06,304,6.73517,0.0570114
8927.65,45.6286,114.544,114.544,2.60154e-10,4.97406e-17,1.09429e-16,0.727332,2.69989e-06,1359,993207,10601,20530.8,1552.71,101,8.69016,0.0467186
23792.6,32.7563,64.6786,64.6786,9.35274e-11,1.84029e-17,4.04863e-17,0.727332,7.19533e-06,557,370787,10256.4,19540,1447.87,39,8.50498,0.0929402
5685.11,52.9887,143.412,143.412,3.92752e-10,7.79021e-17,1.71385e-16,0.727332,1.71929e-06,1248,1.5597e+06,10128.9,19468.4,1524.95,166,8.44599,0.0521225
23782.5,33.0917,69.9473,69.9473,1.05722e-10,1.89738e-17,4.17424e-17,0.727332,7.19228e-06,1223,372041,10869.5,21551.6,1732.73,37,9.40061,0.0361514
5329.89,54.1969,150.398,150.398,4.26581e-10,8.33533e-17,1.83377e-16,0.727332,1.61186e-06,3314,1.65956e+06,9235.97,17896.5,1389.97,194,7.74577,0.0526772
4144.86,58.8278,161.779,161.779,4.95823e-10,1.06598e-16,2.34515e-16,0.727332,1.25348e-06,603,2.12953e+06,8611.27,16697.8,1296.4,266,7.21015,0.0755273
5193.12,54.6062,149.363,149.363,4.23775e-10,8.52562e-17,1.87564e-16,0.727332,1.5705e-06,1450,1.70821e+06,9737.57,18747.7,1431.11,189,8.01685,0.0566775
5455.14,53.5944,143.435,143.435,3.95088e-10,8.06039e-17,1.77329e-16,0.727332,1.64974e-06,448,1.61667e+06,10755,20648,1583.63,162,8.70055,0.0550583
9542.5,44.6191,106.128,106.128,2.29431e-10,4.65117e-17,1.02326e-16,0.728232,2.88584e-06,311,932900,9574.83,17996.8,1773.57,105,8.0869,0.0769516
3455.36,62.4037,166.545,166.545,5.33401e-10,1.27242e-16,2.79932e-16,0.727332,1.04497e-06,791,2.54338e+06,8562.58,16500.5,1223.48,321,7.06786,0.097559
