Step,Time (s),Particle Count,Err,M0 (m-3),Err,Equiv. Sphere Diameter (m),Err,Collision Diameter (m),Err,Mobility Diameter (m),Err,Surface Area (m2/m3),Err,Avg. Surface Area (m2),Err,Fv,Err,Avg. Volume (m3),Err,Mass (kg/m3),Err,Avg. Mass (kg),Err,Mass2 (kg2/m6),Err,Mass3 (kg3/m9),Err,Avg num coags,Err,Max num coags,Err,silica,Err,Avg. silica,Err,Number of Si atoms (cm-3),Err,Number of O atoms (cm-3),Err,Number of OH atoms (cm-3),Err,Avg. Number of Primaries per Particle (-),Err,Avg. Primary Diameter (nm),Err,Avg. Sintering Level (-),Err,Avg. Particle Mass (kg),Err,Avg. Sintering Rate (m2/s),Err,Avg. Sintering Time (s),Err,Avg. Create Time (s),Err
12,0.018,16384,0,1.1936e+18,0,9.72012e-10,0,9.72086e-10,0,9.72086e-10,0,6.60083,0,5.53019e-18,0,3.97124e-09,0,3.32711e-27,0,8.73672e-06,0,7.31965e-24,0,1.81384e-27,0,6.52477e-49,0,4.91269,0,406,0,8.53483e+13,0,71.505,0,8.70725e+13,0,1.32346e+14,0,4.11532e+13,0,1.00028,0,0.971134,0,0.000190631,0,7.31965e-24,0,1.71461e-16,0,0.00159378,0,0.0175781,0
13,0.0195,16384,0,1.10116e+18,0,9.86678e-10,0,9.86979e-10,0,9.86979e-10,0,6.5805,0,5.97595e-18,0,4.36755e-09,0,3.9663e-27,0,9.6086e-06,0,8.72586e-24,0,2.65549e-27,0,1.25538e-48,0,5.59611,0,530,0,9.36984e+13,0,85.0903,0,9.5737e+13,0,1.45983e+14,0,4.4897e+13,0,1.00095,0,0.983894,0,0.000550538,0,8.72586e-24,0,2.77752e-16,0,0.00170405,0,0.0190605,0
14,0.021,16384,0,9.51734e+17,0,1.00046e-09,0,1.0013e-09,0,1.0013e-09,0,6.33335,0,6.65453e-18,0,4.7088e-09,0,4.9476e-27,0,1.03594e-05,0,1.08847e-23,0,3.70799e-27,0,2.22333e-48,0,6.611,0,737,0,1.00952e+14,0,106.072,0,1.03356e+14,0,1.59399e+14,0,4.6285e+13,0,1.00228,0,0.99412,0,0.00113415,0,1.08847e-23,0,5.54208e-16,0,0.00182757,0,0.0205344,0
15,0.0225,16384,0,9.04654e+17,0,9.93304e-10,0,9.95118e-10,0,9.95118e-10,0,6.27,0,6.93083e-18,0,5.03828e-09,0,5.56929e-27,0,1.10842e-05,0,1.22524e-23,0,5.01694e-27,0,3.78836e-48,0,7.09847,0,930,0,1.07733e+14,0,119.087,0,1.10528e+14,0,1.7276e+14,0,4.75431e+13,0,1.00447,0,0.981715,0,0.00187626,0,1.22524e-23,0,2.23196e-15,0,0.00183414,0,0.0220408,0
16,0.024,16384,0,8.06107e+17,0,1.01039e-09,0,1.01384e-09,0,1.01384e-09,0,6.13136,0,7.60613e-18,0,5.31611e-09,0,6.59479e-27,0,1.16954e-05,0,1.45085e-23,0,6.55912e-27,0,6.10619e-48,0,8.07221,0,1184,0,1.13401e+14,0,140.677,0,1.16621e+14,0,1.85412e+14,0,4.72275e+13,0,1.00784,0,0.991252,0,0.00282852,0,1.45085e-23,0,1.56992e-15,0,0.00198219,0,0.0235169,0
17,0.0255,16384,0,7.24864e+17,0,1.00315e-09,0,1.0087e-09,0,1.0087e-09,0,5.94977,0,8.20812e-18,0,5.56627e-09,0,7.67905e-27,0,1.22458e-05,0,1.68939e-23,0,8.31616e-27,0,9.4197e-48,0,8.96229,0,1426,0,1.18386e+14,0,163.322,0,1.22071e+14,0,1.97638e+14,0,4.62165e+13,0,1.0113,0,0.977375,0,0.00340028,0,1.68939e-23,0,1.9938e-15,0,0.00201675,0,0.0249873,0
18,0.027,16384,0,6.66547e+17,0,9.9748e-10,0,1.00577e-09,0,1.00577e-09,0,5.8391,0,8.76022e-18,0,5.79148e-09,0,8.68877e-27,0,1.27413e-05,0,1.91153e-23,0,1.03267e-26,0,1.4013e-47,0,9.81856,0,1792,0,1.227e+14,0,184.084,0,1.26849e+14,0,2.08849e+14,0,4.53265e+13,0,1.01587,0,0.963009,0,0.00421619,0,1.91153e-23,0,2.68572e-15,0,0.00209416,0,0.0264068,0
19,0.0285,16384,0,5.69781e+17,0,1.03913e-09,0,1.05142e-09,0,1.05142e-09,0,5.73598,0,1.0067e-17,0,5.99016e-09,0,1.05131e-26,0,1.31784e-05,0,2.31288e-23,0,1.26196e-26,0,2.03363e-47,0,11.5815,0,2104,0,1.26372e+14,0,221.79,0,1.31011e+14,0,2.19238e+14,0,4.41602e+13,0,1.02303,0,0.991649,0,0.00548425,0,2.31288e-23,0,2.84096e-15,0,0.00235911,0,0.0278608,0
20,0.03,16384,0,4.59754e+17,0,1.08597e-09,0,1.10444e-09,0,1.10444e-09,0,5.55741,0,1.20878e-17,0,6.15927e-09,0,1.33969e-26,0,1.35504e-05,0,2.94731e-23,0,1.51502e-26,0,2.84655e-47,0,14.147,0,2398,0,1.29438e+14,0,281.536,0,1.34608e+14,0,2.2911e+14,0,4.21088e+13,0,1.03296,0,1.02147,0,0.0068336,0,2.94731e-23,0,3.57808e-15,0,0.00268045,0,0.0292947,0
21,0.0315,16384,0,4.55992e+17,0,1.05614e-09,0,1.07828e-09,0,1.07828e-09,0,5.55489,0,1.2182e-17,0,6.31672e-09,0,1.38527e-26,0,1.38968e-05,0,3.04759e-23,0,1.79401e-26,0,3.91334e-47,0,14.2572,0,2702,0,1.3212e+14,0,289.741,0,1.37791e+14,0,2.38073e+14,0,4.06893e+13,0,1.03803,0,0.986645,0,0.00655515,0,3.04759e-23,0,4.0897e-15,0,0.00256009,0,0.0308455,0
