Step,Time (s),Particle Count,Err,M0 (m-3),Err,Equiv. Sphere Diameter (m),Err,Collision Diameter (m),Err,Mobility Diameter (m),Err,Surface Area (m2/m3),Err,Avg. Surface Area (m2),Err,Fv,Err,Avg. Volume (m3),Err,Mass (kg/m3),Err,Avg. Mass (kg),Err,Mass2 (kg2/m6),Err,Mass3 (kg3/m9),Err,Avg num coags,Err,Max num coags,Err,silica,Err,Avg. silica,Err,Number of Si atoms (cm-3),Err,Number of O atoms (cm-3),Err,Number of OH atoms (cm-3),Err,Avg. Number of Primaries per Particle (-),Err,Avg. Primary Diameter (nm),Err,Avg. Sintering Level (-),Err,Avg. Particle Mass (kg),Err,Avg. Sintering Rate (m2/s),Err,Avg. Sintering Time (s),Err,Avg. Create Time (s),Err
46,0.069,16384,0,4.66678e+15,0,1.26874e-08,0,1.69086e-08,0,1.69086e-08,0,4.62608,0,9.91279e-16,0,7.26496e-09,0,1.55674e-24,0,1.59829e-05,0,3.42482e-21,0,1.28473e-25,0,1.68342e-45,0,670.939,0,6043,0,1.4498e+14,0,31066.5,0,1.56055e+14,0,2.9719e+14,0,2.879e+13,0,5.99292,0,7.30631,0,0.128474,0,3.42482e-21,0,1.57105e-14,0,0.0668066,0,0.0648447,0
47,0.0705,16384,0,7.77646e+15,0,7.66985e-09,0,1.01897e-08,0,1.01897e-08,0,4.60804,0,5.92563e-16,0,7.26621e-09,0,9.34386e-25,0,1.59857e-05,0,2.05565e-21,0,1.33709e-25,0,1.82145e-45,0,389.462,0,6045,0,1.44982e+14,0,18643.7,0,1.56096e+14,0,2.97345e+14,0,2.86749e+13,0,3.90324,0,4.509,0,0.0746619,0,2.05565e-21,0,7.64533e-15,0,0.0393598,0,0.0675281,0
48,0.072,16384,0,1.09007e+16,0,5.52556e-09,0,7.29834e-09,0,7.29834e-09,0,4.56044,0,4.18363e-16,0,7.2678e-09,0,6.6673e-25,0,1.59892e-05,0,1.46681e-21,0,1.38504e-25,0,1.94822e-45,0,270.289,0,6059,0,1.44986e+14,0,13300.7,0,1.56128e+14,0,2.97498e+14,0,2.86007e+13,0,3.15706,0,3.25649,0,0.0524473,0,1.46681e-21,0,6.41686e-15,0,0.0280748,0,0.0698584,0
49,0.0735,16384,0,7.44525e+15,0,7.63276e-09,0,1.02428e-08,0,1.02428e-08,0,4.55825,0,6.12236e-16,0,7.26818e-09,0,9.76217e-25,0,1.599e-05,0,2.14768e-21,0,1.43537e-25,0,2.08845e-45,0,385.416,0,6074,0,1.44981e+14,0,19472.9,0,1.56148e+14,0,2.9767e+14,0,2.84365e+13,0,4.23429,0,4.32736,0,0.07339,0,2.14768e-21,0,9.1919e-15,0,0.0411137,0,0.0697264,0
50,0.075,16384,0,3.97365e+15,0,1.34285e-08,0,1.83659e-08,0,1.83659e-08,0,4.56904,0,1.14984e-15,0,7.26888e-09,0,1.82927e-24,0,1.59915e-05,0,4.0244e-21,0,1.48194e-25,0,2.21258e-45,0,701.563,0,6081,0,1.44982e+14,0,36486,0,1.56172e+14,0,2.97831e+14,0,2.82998e+13,0,6.96092,0,7.34427,0,0.130111,0,4.0244e-21,0,1.50663e-14,0,0.0729598,0,0.069557,0
51,0.0765,16384,0,3.85395e+15,0,1.35597e-08,0,1.86505e-08,0,1.86505e-08,0,4.56619,0,1.18481e-15,0,7.27037e-09,0,1.88647e-24,0,1.59948e-05,0,4.15024e-21,0,1.52857e-25,0,2.35209e-45,0,704.07,0,6081,0,1.45004e+14,0,37624.9,0,1.56213e+14,0,2.9794e+14,0,2.8246e+13,0,6.95045,0,7.41503,0,0.129783,0,4.15024e-21,0,1.21003e-14,0,0.0744691,0,0.0696117,0
52,0.078,16384,0,3.7235e+15,0,1.37149e-08,0,1.89629e-08,0,1.89629e-08,0,4.55175,0,1.22244e-15,0,7.26991e-09,0,1.95244e-24,0,1.59938e-05,0,4.29537e-21,0,1.5782e-25,0,2.50227e-45,0,708.247,0,6082,0,1.44992e+14,0,38939.6,0,1.56215e+14,0,2.98018e+14,0,2.81333e+13,0,7.01088,0,7.46713,0,0.129637,0,4.29537e-21,0,1.10097e-14,0,0.075987,0,0.069664,0
53,0.0795,16384,0,3.61328e+15,0,1.38429e-08,0,1.92225e-08,0,1.92225e-08,0,4.53739,0,1.25576e-15,0,7.27058e-09,0,2.01219e-24,0,1.59953e-05,0,4.42681e-21,0,1.62971e-25,0,2.66261e-45,0,711.558,0,6082,0,1.45003e+14,0,40130.6,0,1.56236e+14,0,2.98061e+14,0,2.81099e+13,0,7.08316,0,7.51288,0,0.129833,0,4.42681e-21,0,9.69756e-15,0,0.0774933,0,0.0697002,0
54,0.081,16384,0,3.50204e+15,0,1.39961e-08,0,1.95189e-08,0,1.95189e-08,0,4.52191,0,1.29122e-15,0,7.27047e-09,0,2.07607e-24,0,1.5995e-05,0,4.56735e-21,0,1.67741e-25,0,2.8173e-45,0,715.881,0,6082,0,1.45004e+14,0,41405.7,0,1.56246e+14,0,2.98112e+14,0,2.80377e+13,0,7.18088,0,7.55797,0,0.131618,0,4.56735e-21,0,8.74889e-15,0,0.0790113,0,0.0697563,0
55,0.0825,16384,0,3.39996e+15,0,1.41274e-08,0,1.97919e-08,0,1.97919e-08,0,4.50777,0,1.32583e-15,0,7.27039e-09,0,2.13838e-24,0,1.59949e-05,0,4.70443e-21,0,1.7289e-25,0,2.99378e-45,0,718.598,0,6082,0,1.45002e+14,0,42648.2,0,1.56255e+14,0,2.98178e+14,0,2.79533e+13,0,7.27795,0,7.59156,0,0.130341,0,4.70443e-21,0,8.0947e-15,0,0.0805151,0,0.0697795,0
56,0.084,16384,0,3.30422e+15,0,1.42547e-08,0,2.00591e-08,0,2.00591e-08,0,4.49367,0,1.35998e-15,0,7.27093e-09,0,2.2005e-24,0,1.5996e-05,0,4.84109e-21,0,1.77748e-25,0,3.15574e-45,0,721.183,0,6082,0,1.45011e+14,0,43886.7,0,1.56273e+14,0,2.98235e+14,0,2.79123e+13,0,7.38347,0,7.61777,0,0.129262,0,4.84109e-21,0,7.73563e-15,0,0.0820196,0,0.0698321,0
57,0.0855,16384,0,3.21243e+15,0,1.4383e-08,0,2.03266e-08,0,2.03266e-08,0,4.47973,0,1.3945e-15,0,7.27048e-09,0,2.26324e-24,0,1.59951e-05,0,4.97912e-21,0,1.82816e-25,0,3.33387e-45,0,724.009,0,6082,0,1.45001e+14,0,45137.5,0,1.56273e+14,0,2.98269e+14,0,2.78453e+13,0,7.49812,0,7.64227,0,0.1284,0,4.97912e-21,0,6.92855e-15,0,0.0835227,0,0.0698621,0
58,0.087,16384,0,3.13186e+15,0,1.44943e-08,0,2.05674e-08,0,2.05674e-08,0,4.46803,0,1.42664e-15,0,7.2704e-09,0,2.32143e-24,0,1.59949e-05,0,5.10715e-21,0,1.87881e-25,0,3.52134e-45,0,726.348,0,6082,0,1.45009e+14,0,46301.4,0,1.56283e+14,0,2.98276e+14,0,2.78151e+13,0,7.60149,0,7.66737,0,0.127261,0,5.10715e-21,0,6.51306e-15,0,0.0850219,0,0.0699091,0
59,0.0885,16384,0,3.04017e+15,0,1.46392e-08,0,2.08663e-08,0,2.08663e-08,0,4.45539,0,1.46551e-15,0,7.27089e-09,0,2.39161e-24,0,1.5996e-05,0,5.26154e-21,0,1.93236e-25,0,3.71206e-45,0,729.422,0,6082,0,1.45016e+14,0,47700,0,1.56293e+14,0,2.98302e+14,0,2.78124e+13,0,7.74923,0,7.69173,0,0.128012,0,5.26154e-21,0,6.41581e-15,0,0.0865433,0,0.0699289,0
60,0.09,16384,0,2.96186e+15,0,1.47583e-08,0,2.11256e-08,0,2.11256e-08,0,4.44333,0,1.50018e-15,0,7.27073e-09,0,2.45479e-24,0,1.59956e-05,0,5.40053e-21,0,1.98159e-25,0,3.89234e-45,0,733.064,0,6082,0,1.45014e+14,0,48960.3,0,1.56296e+14,0,2.98332e+14,0,2.77674e+13,0,7.88115,0,7.70437,0,0.128461,0,5.40053e-21,0,6.02397e-15,0,0.0880516,0,0.0699633,0
61,0.0915,16384,0,2.86992e+15,0,1.49356e-08,0,2.14905e-08,0,2.14905e-08,0,4.43339,0,1.54478e-15,0,7.27039e-09,0,2.53331e-24,0,1.59949e-05,0,5.57328e-21,0,2.02992e-25,0,4.07786e-45,0,738.989,0,6082,0,1.45007e+14,0,50526.5,0,1.56296e+14,0,2.98353e+14,0,2.77222e+13,0,8.06008,0,7.72939,0,0.128456,0,5.57328e-21,0,5.90044e-15,0,0.0895755,0,0.0700018,0
62,0.093,16384,0,2.76202e+15,0,1.51603e-08,0,2.1949e-08,0,2.1949e-08,0,4.42007,0,1.6003e-15,0,7.26969e-09,0,2.63202e-24,0,1.59933e-05,0,5.79044e-21,0,2.08855e-25,0,4.31193e-45,0,747.071,0,6082,0,1.44989e+14,0,52493.9,0,1.56286e+14,0,2.98416e+14,0,2.76241e+13,0,8.30201,0,7.75241,0,0.129751,0,5.79044e-21,0,5.65134e-15,0,0.0911027,0,0.0700973,0
63,0.0945,16384,0,2.68113e+15,0,1.53222e-08,0,2.22871e-08,0,2.22871e-08,0,4.40721,0,1.64379e-15,0,7.26887e-09,0,2.71112e-24,0,1.59915e-05,0,5.96446e-21,0,2.14279e-25,0,4.53546e-45,0,752.934,0,6082,0,1.44974e+14,0,54072,0,1.56277e+14,0,2.98452e+14,0,2.75417e+13,0,8.49097,0,7.76538,0,0.130754,0,5.96446e-21,0,5.36663e-15,0,0.0926112,0,0.0701289,0
64,0.096,16384,0,2.6101e+15,0,1.54637e-08,0,2.25885e-08,0,2.25885e-08,0,4.39569,0,1.6841e-15,0,7.26855e-09,0,2.78477e-24,0,1.59908e-05,0,6.1265e-21,0,2.19434e-25,0,4.74464e-45,0,756.146,0,6082,0,1.44966e+14,0,55540.5,0,1.56276e+14,0,2.9848e+14,0,2.74908e+13,0,8.66218,0,7.77789,0,0.131378,0,6.1265e-21,0,5.16398e-15,0,0.0941149,0,0.0702026,0
65,0.0975,16384,0,2.5474e+15,0,1.55872e-08,0,2.28576e-08,0,2.28576e-08,0,4.38477,0,1.72127e-15,0,7.26793e-09,0,2.85308e-24,0,1.59894e-05,0,6.27677e-21,0,2.2446e-25,0,4.95362e-45,0,759.093,0,6082,0,1.44965e+14,0,56907,0,1.56277e+14,0,2.98478e+14,0,2.74437e+13,0,8.81893,0,7.79276,0,0.130527,0,6.27677e-21,0,5.06992e-15,0,0.0956167,0,0.0702486,0
66,0.099,16384,0,2.49326e+15,0,1.56941e-08,0,2.30948e-08,0,2.30948e-08,0,4.37582,0,1.75506e-15,0,7.26867e-09,0,2.91533e-24,0,1.59911e-05,0,6.41372e-21,0,2.29345e-25,0,5.16466e-45,0,761.046,0,6082,0,1.44978e+14,0,58147.8,0,1.56291e+14,0,2.9849e+14,0,2.74665e+13,0,8.95483,0,7.81077,0,0.129412,0,6.41372e-21,0,4.88835e-15,0,0.097121,0,0.0702803,0
67,0.1005,16384,0,2.43799e+15,0,1.58105e-08,0,2.33524e-08,0,2.33524e-08,0,4.36699,0,1.79122e-15,0,7.26814e-09,0,2.9812e-24,0,1.59899e-05,0,6.55864e-21,0,2.34216e-25,0,5.37786e-45,0,764.62,0,6082,0,1.44976e+14,0,59465.3,0,1.5629e+14,0,2.98497e+14,0,2.74201e+13,0,9.10862,0,7.82131,0,0.129084,0,6.55864e-21,0,4.8289e-15,0,0.0986221,0,0.0703175,0
68,0.102,16384,0,2.38545e+15,0,1.59238e-08,0,2.36057e-08,0,2.36057e-08,0,4.35837,0,1.82706e-15,0,7.26794e-09,0,3.04677e-24,0,1.59895e-05,0,6.7029e-21,0,2.38997e-25,0,5.58968e-45,0,767.897,0,6082,0,1.44976e+14,0,60775,0,1.56291e+14,0,2.98522e+14,0,2.73786e+13,0,9.25566,0,7.83028,0,0.129173,0,6.7029e-21,0,4.7621e-15,0,0.100124,0,0.0703371,0
69,0.1035,16384,0,2.3349e+15,0,1.60394e-08,0,2.38582e-08,0,2.38582e-08,0,4.34866,0,1.86246e-15,0,7.26761e-09,0,3.1126e-24,0,1.59887e-05,0,6.84773e-21,0,2.43739e-25,0,5.80851e-45,0,771.093,0,6082,0,1.44979e+14,0,62092.1,0,1.56294e+14,0,2.98519e+14,0,2.73523e+13,0,9.40881,0,7.83756,0,0.12981,0,6.84773e-21,0,4.5845e-15,0,0.101632,0,0.0703511,0
70,0.105,16384,0,2.28194e+15,0,1.61644e-08,0,2.41319e-08,0,2.41319e-08,0,4.33923,0,1.90155e-15,0,7.2676e-09,0,3.18483e-24,0,1.59887e-05,0,7.00662e-21,0,2.48943e-25,0,6.05322e-45,0,774.045,0,6083,0,1.44978e+14,0,63532.9,0,1.56295e+14,0,2.98533e+14,0,2.73352e+13,0,9.57959,0,7.84876,0,0.130459,0,7.00662e-21,0,4.50585e-15,0,0.103134,0,0.0703919,0
71,0.1065,16384,0,2.23603e+15,0,1.62658e-08,0,2.43665e-08,0,2.43665e-08,0,4.33047,0,1.93668e-15,0,7.26719e-09,0,3.25004e-24,0,1.59878e-05,0,7.15009e-21,0,2.53966e-25,0,6.28385e-45,0,775.653,0,6083,0,1.44977e+14,0,64836.8,0,1.56292e+14,0,2.98541e+14,0,2.73014e+13,0,9.72636,0,7.85816,0,0.129615,0,7.15009e-21,0,4.57687e-15,0,0.104636,0,0.0704112,0
72,0.108,16384,0,2.18959e+15,0,1.63745e-08,0,2.46211e-08,0,2.46211e-08,0,4.32327,0,1.97447e-15,0,7.267e-09,0,3.31889e-24,0,1.59874e-05,0,7.30155e-21,0,2.58981e-25,0,6.52451e-45,0,777.867,0,6083,0,1.44973e+14,0,66210.2,0,1.56287e+14,0,2.9856e+14,0,2.7277e+13,0,9.89038,0,7.86164,0,0.129221,0,7.30155e-21,0,4.34062e-15,0,0.10614,0,0.0704466,0
73,0.1095,16384,0,2.13438e+15,0,1.65286e-08,0,2.4964e-08,0,2.4964e-08,0,4.31465,0,2.0215e-15,0,7.26601e-09,0,3.40427e-24,0,1.59852e-05,0,7.48939e-21,0,2.63952e-25,0,6.75879e-45,0,783.248,0,6083,0,1.44958e+14,0,67915.9,0,1.56274e+14,0,2.98574e+14,0,2.7208e+13,0,10.0987,0,7.86969,0,0.128029,0,7.48939e-21,0,4.33128e-15,0,0.107649,0,0.0705206,0
74,0.111,16384,0,2.09358e+15,0,1.66348e-08,0,2.52019e-08,0,2.52019e-08,0,4.30603,0,2.05678e-15,0,7.26589e-09,0,3.47056e-24,0,1.5985e-05,0,7.63524e-21,0,2.68846e-25,0,7.0036e-45,0,785.388,0,6083,0,1.44959e+14,0,69239.8,0,1.56275e+14,0,2.98586e+14,0,2.71861e+13,0,10.2547,0,7.87433,0,0.128286,0,7.63524e-21,0,4.34477e-15,0,0.109151,0,0.0705441,0
75,0.1125,16384,0,2.05197e+15,0,1.6742e-08,0,2.5456e-08,0,2.5456e-08,0,4.2992,0,2.09516e-15,0,7.26574e-09,0,3.54087e-24,0,1.59846e-05,0,7.78992e-21,0,2.73831e-25,0,7.25448e-45,0,787.728,0,6083,0,1.44964e+14,0,70646.2,0,1.56279e+14,0,2.98582e+14,0,2.71718e+13,0,10.4164,0,7.8822,0,0.126158,0,7.78992e-21,0,4.19276e-15,0,0.110651,0,0.0705484,0
76,0.114,16384,0,2.01628e+15,0,1.68392e-08,0,2.56815e-08,0,2.56815e-08,0,4.29282,0,2.12907e-15,0,7.26547e-09,0,3.6034e-24,0,1.5984e-05,0,7.92747e-21,0,2.78318e-25,0,7.48375e-45,0,789.359,0,6083,0,1.44962e+14,0,71895.5,0,1.56277e+14,0,2.98594e+14,0,2.71427e+13,0,10.5567,0,7.89051,0,0.125587,0,7.92747e-21,0,4.26628e-15,0,0.112152,0,0.0705752,0
77,0.1155,16384,0,1.98583e+15,0,1.69161e-08,0,2.58646e-08,0,2.58646e-08,0,4.28615,0,2.15837e-15,0,7.26521e-09,0,3.65852e-24,0,1.59835e-05,0,8.04875e-21,0,2.82657e-25,0,7.71459e-45,0,790.397,0,6083,0,1.44963e+14,0,72998.8,0,1.56277e+14,0,2.98588e+14,0,2.71269e+13,0,10.6816,0,7.89309,0,0.125824,0,8.04875e-21,0,4.30341e-15,0,0.113653,0,0.0705935,0
78,0.117,16384,0,1.94593e+15,0,1.70349e-08,0,2.61383e-08,0,2.61383e-08,0,4.27914,0,2.19902e-15,0,7.26507e-09,0,3.73347e-24,0,1.59832e-05,0,8.21364e-21,0,2.87556e-25,0,7.97506e-45,0,793.743,0,6083,0,1.44959e+14,0,74493.5,0,1.56274e+14,0,2.98617e+14,0,2.70951e+13,0,10.861,0,7.89631,0,0.125837,0,8.21364e-21,0,3.97578e-15,0,0.115156,0,0.0706201,0
79,0.1185,16384,0,1.91732e+15,0,1.71101e-08,0,2.63155e-08,0,2.63155e-08,0,4.27194,0,2.22808e-15,0,7.26492e-09,0,3.7891e-24,0,1.59828e-05,0,8.33601e-21,0,2.92081e-25,0,8.22542e-45,0,795.401,0,6083,0,1.44961e+14,0,75606.1,0,1.56276e+14,0,2.98604e+14,0,2.70926e+13,0,10.9886,0,7.89829,0,0.126442,0,8.33601e-21,0,3.86719e-15,0,0.116657,0,0.0706487,0
80,0.12,16384,0,1.88441e+15,0,1.72e-08,0,2.65313e-08,0,2.65313e-08,0,4.26481,0,2.26321e-15,0,7.26509e-09,0,3.85537e-24,0,1.59832e-05,0,8.48181e-21,0,2.97205e-25,0,8.49849e-45,0,795.769,0,6083,0,1.4497e+14,0,76931.5,0,1.56283e+14,0,2.98605e+14,0,2.70922e+13,0,11.1482,0,7.9017,0,0.12703,0,8.48181e-21,0,3.86535e-15,0,0.118158,0,0.0706535,0
81,0.1215,16384,0,1.84949e+15,0,1.73149e-08,0,2.6796e-08,0,2.6796e-08,0,4.25904,0,2.30282e-15,0,7.26492e-09,0,3.92807e-24,0,1.59828e-05,0,8.64175e-21,0,3.01975e-25,0,8.76147e-45,0,798.131,0,6084,0,1.4497e+14,0,78384,0,1.56284e+14,0,2.986e+14,0,2.70821e+13,0,11.3216,0,7.90652,0,0.127395,0,8.64175e-21,0,3.95633e-15,0,0.11966,0,0.0706892,0
82,0.123,16384,0,1.80874e+15,0,1.74593e-08,0,2.71231e-08,0,2.71231e-08,0,4.25216,0,2.35089e-15,0,7.2648e-09,0,4.01649e-24,0,1.59826e-05,0,8.83628e-21,0,3.06902e-25,0,9.02518e-45,0,801.216,0,6084,0,1.4497e+14,0,80149.5,0,1.56285e+14,0,2.98605e+14,0,2.7067e+13,0,11.5358,0,7.91229,0,0.127971,0,8.83628e-21,0,3.93658e-15,0,0.121171,0,0.0707276,0
83,0.1245,16384,0,1.77459e+15,0,1.75794e-08,0,2.73954e-08,0,2.73954e-08,0,4.24463,0,2.3919e-15,0,7.26427e-09,0,4.0935e-24,0,1.59814e-05,0,9.0057e-21,0,3.11817e-25,0,9.31755e-45,0,804.542,0,6084,0,1.44966e+14,0,81689.8,0,1.56279e+14,0,2.98602e+14,0,2.70384e+13,0,11.7224,0,7.91419,0,0.127803,0,9.0057e-21,0,3.77593e-15,0,0.122673,0,0.0707578,0
84,0.126,16384,0,1.74028e+15,0,1.77016e-08,0,2.76803e-08,0,2.76803e-08,0,4.23819,0,2.43535e-15,0,7.26394e-09,0,4.174e-24,0,1.59807e-05,0,9.1828e-21,0,3.16643e-25,0,9.5882e-45,0,807.003,0,6084,0,1.44966e+14,0,83300,0,1.56279e+14,0,2.98598e+14,0,2.70164e+13,0,11.9176,0,7.92172,0,0.126885,0,9.1828e-21,0,3.78623e-15,0,0.124173,0,0.0707837,0
85,0.1275,16384,0,1.71184e+15,0,1.78024e-08,0,2.79186e-08,0,2.79186e-08,0,4.23239,0,2.47242e-15,0,7.26383e-09,0,4.24328e-24,0,1.59804e-05,0,9.33521e-21,0,3.21297e-25,0,9.87885e-45,0,808.565,0,6084,0,1.44967e+14,0,84684.6,0,1.56278e+14,0,2.98603e+14,0,2.70038e+13,0,12.0829,0,7.9279,0,0.125419,0,9.33521e-21,0,3.72059e-15,0,0.125677,0,0.0708021,0
86,0.129,16384,0,1.68636e+15,0,1.78911e-08,0,2.81279e-08,0,2.81279e-08,0,4.22644,0,2.50625e-15,0,7.26374e-09,0,4.30735e-24,0,1.59802e-05,0,9.47618e-21,0,3.25639e-25,0,1.01392e-44,0,810.338,0,6084,0,1.44971e+14,0,85967,0,1.56281e+14,0,2.98593e+14,0,2.70016e+13,0,12.2331,0,7.92971,0,0.125416,0,9.47618e-21,0,3.75536e-15,0,0.127178,0,0.0708166,0
87,0.1305,16384,0,1.65862e+15,0,1.79946e-08,0,2.837e-08,0,2.837e-08,0,4.22059,0,2.54464e-15,0,7.26347e-09,0,4.37922e-24,0,1.59796e-05,0,9.63428e-21,0,3.30402e-25,0,1.04433e-44,0,812.829,0,6084,0,1.44967e+14,0,87402.2,0,1.56279e+14,0,2.98611e+14,0,2.69679e+13,0,12.4074,0,7.93293,0,0.125609,0,9.63428e-21,0,3.66187e-15,0,0.128679,0,0.0708536,0
88,0.132,16384,0,1.63379e+15,0,1.80808e-08,0,2.85811e-08,0,2.85811e-08,0,4.21514,0,2.57998e-15,0,7.26323e-09,0,4.44564e-24,0,1.59791e-05,0,9.78041e-21,0,3.35338e-25,0,1.07544e-44,0,813.909,0,6085,0,1.44967e+14,0,88730.9,0,1.56278e+14,0,2.98599e+14,0,2.69616e+13,0,12.5626,0,7.93805,0,0.125105,0,9.78041e-21,0,3.6195e-15,0,0.130179,0,0.0708697,0
89,0.1335,16384,0,1.6053e+15,0,1.82015e-08,0,2.88563e-08,0,2.88563e-08,0,4.20857,0,2.62168e-15,0,7.26321e-09,0,4.52453e-24,0,1.59791e-05,0,9.95396e-21,0,3.39985e-25,0,1.10563e-44,0,816.084,0,6085,0,1.44969e+14,0,90306.8,0,1.5628e+14,0,2.98605e+14,0,2.69511e+13,0,12.752,0,7.94063,0,0.125327,0,9.95396e-21,0,3.59983e-15,0,0.131682,0,0.0708942,0
90,0.135,16384,0,1.57879e+15,0,1.83058e-08,0,2.91074e-08,0,2.91074e-08,0,4.20298,0,2.66215e-15,0,7.26305e-09,0,4.60038e-24,0,1.59787e-05,0,1.01208e-20,0,3.44568e-25,0,1.13396e-44,0,818.121,0,6085,0,1.44972e+14,0,91824.3,0,1.5628e+14,0,2.98601e+14,0,2.69422e+13,0,12.9388,0,7.94363,0,0.124782,0,1.01208e-20,0,3.58196e-15,0,0.133183,0,0.0709116,0
91,0.1365,16384,0,1.53197e+15,0,1.85941e-08,0,2.96905e-08,0,2.96905e-08,0,4.19591,0,2.7389e-15,0,7.26237e-09,0,4.74055e-24,0,1.59772e-05,0,1.04292e-20,0,3.49421e-25,0,1.16289e-44,0,830.067,0,6085,0,1.44962e+14,0,94624.4,0,1.56271e+14,0,2.98598e+14,0,2.69071e+13,0,13.2962,0,7.98687,0,0.125941,0,1.04292e-20,0,3.64405e-15,0,0.134798,0,0.070975,0
92,0.138,16384,0,1.50721e+15,0,1.87034e-08,0,2.99496e-08,0,2.99496e-08,0,4.19061,0,2.78037e-15,0,7.26205e-09,0,4.8182e-24,0,1.59765e-05,0,1.06e-20,0,3.54228e-25,0,1.19465e-44,0,833.264,0,6085,0,1.44956e+14,0,96174.6,0,1.56267e+14,0,2.98607e+14,0,2.68792e+13,0,13.485,0,7.9931,0,0.124675,0,1.06e-20,0,3.65821e-15,0,0.136302,0,0.0709996,0
93,0.1395,16384,0,1.48512e+15,0,1.8796e-08,0,3.01794e-08,0,3.01794e-08,0,4.1863,0,2.81883e-15,0,7.26188e-09,0,4.88976e-24,0,1.59761e-05,0,1.07575e-20,0,3.58667e-25,0,1.22265e-44,0,834.724,0,6085,0,1.44956e+14,0,97605.4,0,1.56268e+14,0,2.98605e+14,0,2.68676e+13,0,13.654,0,7.99891,0,0.123593,0,1.07575e-20,0,3.55073e-15,0,0.137804,0,0.0710032,0
94,0.141,16384,0,1.46055e+15,0,1.89282e-08,0,3.04668e-08,0,3.04668e-08,0,4.18104,0,2.86265e-15,0,7.26188e-09,0,4.97202e-24,0,1.59761e-05,0,1.09385e-20,0,3.63095e-25,0,1.25156e-44,0,838.565,0,6085,0,1.44958e+14,0,99248.8,0,1.5627e+14,0,2.98601e+14,0,2.68677e+13,0,13.8491,0,8.01988,0,0.123457,0,1.09385e-20,0,3.62832e-15,0,0.139343,0,0.0710429,0
95,0.1425,16384,0,1.43706e+15,0,1.90385e-08,0,3.07318e-08,0,3.07318e-08,0,4.17635,0,2.90619e-15,0,7.26164e-09,0,5.05314e-24,0,1.59756e-05,0,1.11169e-20,0,3.67815e-25,0,1.28135e-44,0,840.725,0,6085,0,1.44953e+14,0,100868,0,1.56266e+14,0,2.98616e+14,0,2.68415e+13,0,14.0405,0,8.02655,0,0.122689,0,1.11169e-20,0,3.56931e-15,0,0.140846,0,0.0710752,0
96,0.144,16384,0,1.41993e+15,0,1.91102e-08,0,3.09153e-08,0,3.09153e-08,0,4.173,0,2.93889e-15,0,7.26165e-09,0,5.11411e-24,0,1.59756e-05,0,1.1251e-20,0,3.72026e-25,0,1.30975e-44,0,842.751,0,6085,0,1.44953e+14,0,102085,0,1.56267e+14,0,2.98618e+14,0,2.68391e+13,0,14.176,0,8.03179,0,0.123091,0,1.1251e-20,0,3.547e-15,0,0.142348,0,0.0710784,0
97,0.1455,16384,0,1.40067e+15,0,1.92002e-08,0,3.11389e-08,0,3.11389e-08,0,4.16916,0,2.97655e-15,0,7.26153e-09,0,5.18434e-24,0,1.59754e-05,0,1.14055e-20,0,3.76245e-25,0,1.33689e-44,0,843.593,0,6085,0,1.44954e+14,0,103489,0,1.56266e+14,0,2.9862e+14,0,2.6829e+13,0,14.3384,0,8.03709,0,0.121657,0,1.14055e-20,0,3.49223e-15,0,0.143852,0,0.0710807,0
98,0.147,16384,0,1.37881e+15,0,1.93066e-08,0,3.14004e-08,0,3.14004e-08,0,4.16453,0,3.02038e-15,0,7.26117e-09,0,5.26625e-24,0,1.59746e-05,0,1.15858e-20,0,3.81479e-25,0,1.37493e-44,0,845.63,0,6085,0,1.44953e+14,0,105129,0,1.56263e+14,0,2.98616e+14,0,2.68084e+13,0,14.5295,0,8.0422,0,0.121461,0,1.15858e-20,0,3.49097e-15,0,0.145356,0,0.0711044,0
99,0.1485,16384,0,1.36036e+15,0,1.93877e-08,0,3.16107e-08,0,3.16107e-08,0,4.16039,0,3.0583e-15,0,7.26078e-09,0,5.33739e-24,0,1.59737e-05,0,1.17423e-20,0,3.86436e-25,0,1.40988e-44,0,846.87,0,6085,0,1.4495e+14,0,106553,0,1.5626e+14,0,2.98615e+14,0,2.67858e+13,0,14.6951,0,8.04766,0,0.120033,0,1.17423e-20,0,3.46098e-15,0,0.146857,0,0.0711043,0
100,0.15,16384,0,1.34311e+15,0,1.94696e-08,0,3.18149e-08,0,3.18149e-08,0,4.15593,0,3.09426e-15,0,7.26105e-09,0,5.40615e-24,0,1.59743e-05,0,1.18935e-20,0,3.90982e-25,0,1.44246e-44,0,848.196,0,6085,0,1.44955e+14,0,107925,0,1.56265e+14,0,2.98627e+14,0,2.67866e+13,0,14.8525,0,8.05193,0,0.119317,0,1.18935e-20,0,3.39191e-15,0,0.148359,0,0.0711089,0
101,0.158,16384,0,1.23743e+15,0,2.00706e-08,0,3.32837e-08,0,3.32837e-08,0,4.13282,0,3.33985e-15,0,7.25928e-09,0,5.86642e-24,0,1.59704e-05,0,1.29061e-20,0,4.16017e-25,0,1.62121e-44,0,858.184,0,6085,0,1.44949e+14,0,117137,0,1.56258e+14,0,2.98663e+14,0,2.66263e+13,0,15.9587,0,8.07656,0,0.113645,0,1.29061e-20,0,3.39996e-15,0,0.156381,0,0.071223,0
