Weight (cm-3),Equiv. Sphere Diameter (nm),Collision Diameter (nm),Mobility Diameter (nm),Surface Area (cm2),Volume (cm3),Mass (g),Age (s),Stat. Weight (-),Num coags (-),silica,Number of Si Atoms,Number of O Atoms,Number of OH Atoms,Number of Primaries,Avg. Primary Diameter,Avg. Sintering Level,Avg. Si:O Ratio
66583.8,12.6223,14.466,14.466,6.14103e-12,1.05296e-18,2.31651e-18,1,0.0909091,7,23177,7725.67,14984,494,3,8.23746,0.396848,0.499139
40690.1,14.9068,19.0287,19.0287,1.00683e-11,1.7344e-18,3.81568e-18,1,0.0555556,5,37926,12642,24284.7,1324.67,3,10.3145,0,0.493648
19274.3,19.1131,29.0956,29.0956,2.15555e-11,3.65589e-18,8.04297e-18,1,0.0263158,8,80066,11438,22004.3,1105.43,7,9.6469,0.020248,0.494943
17033.1,19.9212,29.7534,29.7534,2.27569e-11,4.13948e-18,9.10685e-18,1,0.0232558,7,90601,10066.8,19352.4,1008,9,9.09938,0.12924,0.494428
12413.9,22.1358,36.3282,36.3282,3.23641e-11,5.67916e-18,1.24942e-17,1,0.0169492,15,124313,10359.4,19905.8,1042.17,12,9.31811,0.0689747,0.49453
8824.36,24.8032,40.2193,40.2193,3.99076e-11,7.98951e-18,1.75769e-17,1,0.0120482,9,174881,11658.7,22402.1,1174.13,15,9.86023,0.132565,0.494511
23626.5,17.8539,23.6461,23.6461,1.52635e-11,2.9799e-18,6.55578e-18,1,0.0322581,6,65317,10886.2,20969,994.333,6,9.41845,0.235209,0.495652
45776.4,14.3231,18.2837,18.2837,9.29531e-12,1.53854e-18,3.3848e-18,1,0.0625,3,33712,11237.3,21606.7,1076.67,3,9.3146,0,0.4954
15583.4,20.5209,29.254,29.254,2.25178e-11,4.5247e-18,9.95433e-18,1,0.0212766,9,99029,11003.2,21148.9,1106.67,9,9.65836,0.205612,0.494403
183105,9.03598,9.03598,9.03598,2.56508e-12,3.863e-19,8.49859e-19,1,0.25,2,8428,8428,16134,1004,1,9.03598,0,0.491773
