Step,Time (s),C8H20O4SI (mol/cm3),Err,C6H16O4SI (mol/cm3),Err,C4H12O4SI (mol/cm3),Err,C2H8O4SI (mol/cm3),Err,H4O4SI (mol/cm3),Err,C6H16O4SI2 (mol/cm3),Err,C4H12O4SI2 (mol/cm3),Err,C2H8O4SI2 (mol/cm3),Err,H2 (mol/cm3),Err,H2O (mol/cm3),Err,H (mol/cm3),Err,CH4 (mol/cm3),Err,CH3 (mol/cm3),Err,CH2 (mol/cm3),Err,CH (mol/cm3),Err,CO (mol/cm3),Err,C2H (mol/cm3),Err,C2H2 (mol/cm3),Err,C2H3 (mol/cm3),Err,C2H4 (mol/cm3),Err,C2H5OH (mol/cm3),Err,C2H5 (mol/cm3),Err,H2CCCH (mol/cm3),Err,C3H2 (mol/cm3),Err,CH2(S) (mol/cm3),Err,C3H6 (mol/cm3),Err,AC3H5 (mol/cm3),Err,PC3H5 (mol/cm3),Err,N2 (mol/cm3),Err,T (K),Err,Density (mol/cm3),Err,Pressure (Pa),Err
10,0.015,4.64829e-17,0,4.42136e-12,0,2.60512e-11,0,4.15317e-11,0,4.82207e-12,0,2.77837e-12,0,2.21814e-11,0,4.55738e-11,0,9.38165e-14,0,1.94313e-10,0,1.4852e-17,0,1.56725e-24,0,2.75271e-24,0,5.1072e-25,0,1.33189e-24,0,0,0,4.49139e-24,0,9.38238e-14,0,1.78773e-19,0,8.33569e-10,0,2.38949e-20,0,6.70164e-20,0,3.4114e-28,0,3.44205e-26,0,4.48935e-27,0,6.44623e-27,0,2.23825e-24,0,3.72025e-33,0,1.03881e-05,0,1173,0,1.03892e-05,0,101325,0
11,0.0165,9.84205e-18,0,3.10265e-12,0,2.17357e-11,0,3.99339e-11,0,4.49207e-12,0,1.81659e-12,0,1.75358e-11,0,4.18723e-11,0,1.07984e-13,0,2.27037e-10,0,1.70875e-17,0,2.11497e-24,0,3.64527e-24,0,5.96654e-25,0,1.75054e-24,0,0,0,6.02684e-24,0,1.07993e-13,0,2.09696e-19,0,8.63613e-10,0,3.34229e-20,0,7.98842e-20,0,5.11915e-28,0,5.77583e-26,0,5.24453e-27,0,9.81506e-27,0,3.04446e-24,0,6.31629e-33,0,1.0388e-05,0,1173,0,1.03892e-05,0,101325,0
12,0.018,2.08388e-18,0,2.17725e-12,0,1.79805e-11,0,3.77239e-11,0,4.333e-12,0,1.18774e-12,0,1.37498e-11,0,3.78099e-11,0,1.2262e-13,0,2.55581e-10,0,1.9396e-17,0,2.77864e-24,0,4.69847e-24,0,6.85418e-25,0,2.23694e-24,0,0,0,7.90533e-24,0,1.2263e-13,0,2.42053e-19,0,8.89612e-10,0,4.45371e-20,0,9.34077e-20,0,7.38167e-28,0,9.22633e-26,0,6.02457e-27,0,1.43498e-26,0,4.00854e-24,0,1.02062e-32,0,1.0388e-05,0,1173,0,1.03892e-05,0,101325,0
13,0.0195,4.41222e-19,0,1.52786e-12,0,1.47715e-11,0,3.51217e-11,0,3.97992e-12,0,7.76575e-13,0,1.07107e-11,0,3.36608e-11,0,1.37661e-13,0,2.82052e-10,0,2.17676e-17,0,3.56888e-24,0,5.91965e-24,0,7.7664e-25,0,2.79098e-24,0,0,0,1.01692e-23,0,1.37672e-13,0,2.75584e-19,0,9.12023e-10,0,5.70467e-20,0,1.07471e-19,0,1.02993e-27,0,1.41376e-25,0,6.82618e-27,0,2.02743e-26,0,5.13817e-24,0,1.58196e-32,0,1.03879e-05,0,1173,0,1.03892e-05,0,101325,0
14,0.021,9.34221e-20,0,1.07216e-12,0,1.20664e-11,0,3.23046e-11,0,3.92382e-12,0,5.07745e-13,0,8.29901e-12,0,2.96162e-11,0,1.5305e-13,0,3.06651e-10,0,2.41937e-17,0,4.49594e-24,0,7.31481e-24,0,8.69989e-25,0,3.41133e-24,0,0,0,1.28616e-23,0,1.53062e-13,0,3.10058e-19,0,9.31273e-10,0,7.08479e-20,0,1.21972e-19,0,1.39783e-27,0,2.09047e-25,0,7.64648e-27,0,2.78213e-26,0,6.43969e-24,0,2.36659e-32,0,1.03879e-05,0,1173,0,1.03892e-05,0,101325,0
15,0.0225,1.97823e-20,0,7.52377e-13,0,9.81035e-12,0,2.94107e-11,0,3.36054e-12,0,3.31977e-13,0,6.40232e-12,0,2.58011e-11,0,1.68738e-13,0,3.30118e-10,0,2.66665e-17,0,5.56975e-24,0,8.88884e-24,0,9.65178e-25,0,4.09556e-24,0,0,0,1.60265e-23,0,1.68751e-13,0,3.45275e-19,0,9.47756e-10,0,8.58134e-20,0,1.36819e-19,0,1.85305e-27,0,2.9971e-25,0,8.48294e-27,0,3.72297e-26,0,7.91822e-24,0,3.43376e-32,0,1.03879e-05,0,1173,0,1.03892e-05,0,101325,0
16,0.024,4.1902e-21,0,5.27972e-13,0,7.94466e-12,0,2.65432e-11,0,3.1719e-12,0,2.17055e-13,0,4.9213e-12,0,2.22896e-11,0,1.84681e-13,0,3.52295e-10,0,2.91794e-17,0,6.79984e-24,0,1.06456e-23,0,1.06195e-24,0,4.84024e-24,0,0,0,1.97082e-23,0,1.84696e-13,0,3.81063e-19,0,9.61828e-10,0,1.01844e-19,0,1.51936e-19,0,2.4073e-27,0,4.18241e-25,0,9.33335e-27,0,4.87424e-26,0,9.57785e-24,0,4.85133e-32,0,1.03879e-05,0,1173,0,1.03892e-05,0,101325,0
17,0.0255,8.8846e-22,0,3.70499e-13,0,6.41235e-12,0,2.37757e-11,0,2.96176e-12,0,1.41917e-13,0,3.77152e-12,0,1.91182e-11,0,2.00844e-13,0,3.72093e-10,0,3.17266e-17,0,8.19547e-24,0,1.25881e-23,0,1.1601e-24,0,5.64112e-24,0,0,0,2.39511e-23,0,2.0086e-13,0,4.17278e-19,0,9.7381e-10,0,1.18804e-19,0,1.67259e-19,0,3.07288e-27,0,5.69903e-25,0,1.01958e-26,0,6.26045e-26,0,1.14218e-23,0,6.69589e-32,0,1.03878e-05,0,1173,0,1.03892e-05,0,101325,0
18,0.027,1.89032e-22,0,2.59996e-13,0,5.16092e-12,0,2.11583e-11,0,2.75507e-12,0,9.27903e-14,0,2.88309e-12,0,1.62967e-11,0,2.17192e-13,0,3.90408e-10,0,3.4303e-17,0,9.76556e-24,0,1.47188e-23,0,1.25943e-24,0,6.49323e-24,0,0,0,2.87998e-23,0,2.17209e-13,0,4.53801e-19,0,9.83989e-10,0,1.36542e-19,0,1.82732e-19,0,3.86263e-27,0,7.60289e-25,0,1.10686e-26,0,7.90617e-26,0,1.34525e-23,0,9.05302e-32,0,1.03878e-05,0,1173,0,1.03892e-05,0,101325,0
19,0.0285,4.06841e-23,0,1.82457e-13,0,4.14371e-12,0,1.8722e-11,0,2.52482e-12,0,6.06725e-14,0,2.19931e-12,0,1.3817e-11,0,2.33699e-13,0,4.07527e-10,0,3.69042e-17,0,1.15188e-23,0,1.70394e-23,0,1.35977e-24,0,7.39101e-24,0,0,0,3.42988e-23,0,2.33717e-13,0,4.90539e-19,0,9.92618e-10,0,1.5494e-19,0,1.98314e-19,0,4.79004e-27,0,9.95258e-25,0,1.19503e-26,0,9.83598e-26,0,1.56719e-23,0,1.20174e-31,0,1.03878e-05,0,1173,0,1.03892e-05,0,101325,0
20,0.03,9.06824e-24,0,1.28045e-13,0,3.32008e-12,0,1.64836e-11,0,2.45337e-12,0,3.96727e-14,0,1.6747e-12,0,1.16598e-11,0,2.5034e-13,0,4.23051e-10,0,3.95265e-17,0,1.34637e-23,0,1.95511e-23,0,1.46098e-24,0,8.32848e-24,0,0,0,4.04921e-23,0,2.5036e-13,0,5.27414e-19,0,9.99918e-10,0,1.73889e-19,0,2.13969e-19,0,5.86917e-27,0,1.28084e-24,0,1.28397e-26,0,1.20742e-25,0,1.80813e-23,0,1.56925e-31,0,1.03878e-05,0,1173,0,1.03892e-05,0,101325,0
21,0.0315,2.24686e-24,0,8.98878e-14,0,2.6557e-12,0,1.44492e-11,0,2.08161e-12,0,2.59529e-14,0,1.27352e-12,0,9.79942e-12,0,2.67095e-13,0,4.37903e-10,0,4.21668e-17,0,1.56088e-23,0,2.22553e-23,0,1.56295e-24,0,9.29942e-24,0,0,0,4.74252e-23,0,2.67116e-13,0,5.64367e-19,0,1.00608e-09,0,1.93287e-19,0,2.2967e-19,0,7.1152e-27,0,1.62332e-24,0,1.37358e-26,0,1.4646e-25,0,2.06821e-23,0,2.01933e-31,0,1.03878e-05,0,1173,0,1.03892e-05,0,101325,0
22,0.033,7.03422e-25,0,6.31279e-14,0,2.12132e-12,0,1.2617e-11,0,1.95125e-12,0,1.69881e-14,0,9.67432e-13,0,8.20679e-12,0,2.83947e-13,0,4.50758e-10,0,4.48223e-17,0,1.79626e-23,0,2.51528e-23,0,1.66557e-24,0,1.02973e-23,0,0,0,5.51424e-23,0,2.83969e-13,0,6.01352e-19,0,1.01128e-09,0,2.13033e-19,0,2.45395e-19,0,8.54384e-27,0,2.02897e-24,0,1.46375e-26,0,1.75758e-25,0,2.34752e-23,0,2.56434e-31,0,1.03878e-05,0,1173,0,1.03892e-05,0,101325,0
23,0.0345,3.06828e-25,0,4.43363e-14,0,1.69222e-12,0,1.09788e-11,0,1.77218e-12,0,1.11206e-14,0,7.34119e-13,0,6.851e-12,0,3.0088e-13,0,4.61864e-10,0,4.74906e-17,0,2.05323e-23,0,2.82433e-23,0,1.76874e-24,0,1.13156e-23,0,0,0,6.3684e-23,0,3.00904e-13,0,6.38338e-19,0,1.01565e-09,0,2.32993e-19,0,2.61129e-19,0,1.01708e-26,0,2.50376e-24,0,1.55441e-26,0,2.08865e-25,0,2.64604e-23,0,3.21716e-31,0,1.03877e-05,0,1173,0,1.03892e-05,0,101325,0
24,0.036,1.7565e-25,0,3.11384e-14,0,1.34834e-12,0,9.52351e-12,0,1.61761e-12,0,7.27966e-15,0,5.56548e-13,0,5.70286e-12,0,3.17882e-13,0,4.7188e-10,0,5.01697e-17,0,2.33255e-23,0,3.1527e-23,0,1.87239e-24,0,1.23477e-23,0,0,0,7.3092e-23,0,3.17907e-13,0,6.75298e-19,0,1.01933e-09,0,2.53058e-19,0,2.7686e-19,0,1.20132e-26,0,3.05368e-24,0,1.6455e-26,0,2.46013e-25,0,2.96379e-23,0,3.99175e-31,0,1.03877e-05,0,1173,0,1.03892e-05,0,101325,0
25,0.0375,1.15044e-25,0,2.18693e-14,0,1.07323e-12,0,8.238e-12,0,1.53736e-12,0,4.76534e-15,0,4.21587e-13,0,4.73502e-12,0,3.34942e-13,0,4.80615e-10,0,5.28578e-17,0,2.63501e-23,0,3.50039e-23,0,1.97646e-24,0,1.33872e-23,0,0,0,8.34079e-23,0,3.34968e-13,0,7.12218e-19,0,1.02242e-09,0,2.73151e-19,0,2.9258e-19,0,1.40889e-26,0,3.6846e-24,0,1.73695e-26,0,2.87437e-25,0,3.30078e-23,0,4.90307e-31,0,1.03877e-05,0,1173,0,1.03892e-05,0,101325,0
26,0.039,7.91562e-26,0,1.53593e-14,0,8.53496e-13,0,7.10801e-12,0,1.33097e-12,0,3.11944e-15,0,3.19131e-13,0,3.92245e-12,0,3.52051e-13,0,4.88427e-10,0,5.55537e-17,0,2.96137e-23,0,3.86741e-23,0,2.08088e-24,0,1.44279e-23,0,0,0,9.46725e-23,0,3.52078e-13,0,7.49084e-19,0,1.02501e-09,0,2.93186e-19,0,3.08283e-19,0,1.64166e-26,0,4.40212e-24,0,1.82871e-26,0,3.33367e-25,0,3.65701e-23,0,5.96695e-31,0,1.03877e-05,0,1173,0,1.03892e-05,0,101325,0
